"allpower","date","household"
175.99,"2012-07-05","6"
124.94,"2012-07-06","6"
216.14,"2012-07-07","6"
195.49,"2012-07-08","6"
140.96,"2012-07-09","6"
151.72,"2012-07-10","6"
192.46,"2012-07-11","6"
188.72,"2012-07-12","6"
127.37,"2012-07-13","6"
162.68,"2012-07-14","6"
87.62,"2012-07-15","6"
86.82,"2012-07-16","6"
87.39,"2012-07-17","6"
88.86,"2012-07-18","6"
89.45,"2012-07-19","6"
88.56,"2012-07-20","6"
111.13,"2012-07-21","6"
456.9,"2012-07-22","6"
461.05,"2012-07-23","6"
119.54,"2012-07-24","6"
133.67,"2012-07-25","6"
119.55,"2012-07-26","6"
103.61,"2012-07-27","6"
326.23,"2012-07-28","6"
362.26,"2012-07-29","6"
432.69,"2012-07-30","6"
118.66,"2012-07-31","6"
144.66,"2012-08-01","6"
166.47,"2012-08-02","6"
111.37,"2012-08-03","6"
100.35,"2012-08-04","6"
176.03,"2012-08-05","6"
317.9,"2012-08-06","6"
227.89,"2012-08-07","6"
94.37,"2012-08-08","6"
91.08,"2012-08-09","6"
114.04,"2012-08-10","6"
158.19,"2012-08-11","6"
122.18,"2012-08-12","6"
145.35,"2012-08-13","6"
149.22,"2012-08-14","6"
93.38,"2012-08-15","6"
108.07,"2012-08-16","6"
107.77,"2012-08-17","6"
166.07,"2012-08-18","6"
346.85,"2012-08-19","6"
131.88,"2012-08-20","6"
127.98,"2012-08-21","6"
115.93,"2012-08-22","6"
101.95,"2012-08-23","6"
146.08,"2012-08-24","6"
196.59,"2012-08-25","6"
158.61,"2012-08-26","6"
156.12,"2012-08-27","6"
114.69,"2012-08-28","6"
102.98,"2012-08-29","6"
168.72,"2012-08-30","6"
173.16,"2012-08-31","6"
306.76,"2012-09-01","6"
181.27,"2012-09-02","6"
116.3,"2012-09-03","6"
149.41,"2012-09-04","6"
149.26,"2012-09-05","6"
109.57,"2012-09-06","6"
127.86,"2012-09-07","6"
211.85,"2012-09-08","6"
201.42,"2012-09-09","6"
106.77,"2012-09-10","6"
145.51,"2012-09-11","6"
87.3,"2012-09-12","6"
81.37,"2012-09-13","6"
125.84,"2012-09-14","6"
95.23,"2012-09-15","6"
154.2,"2012-09-16","6"
120.8,"2012-09-17","6"
160.25,"2012-09-18","6"
96.68,"2012-09-19","6"
85.21,"2012-09-20","6"
77.7,"2012-09-21","6"
230.89,"2012-09-22","6"
352.64,"2012-09-23","6"
220.25,"2012-09-24","6"
175.65,"2012-09-25","6"
172.77,"2012-09-26","6"
136.39,"2012-09-27","6"
109.07,"2012-09-28","6"
302.47,"2012-09-29","6"
541.06,"2012-09-30","6"
612.03,"2012-10-01","6"
384.79,"2012-10-02","6"
238.76,"2012-10-03","6"
163.48,"2012-10-04","6"
81.6,"2012-10-05","6"
81.99,"2012-10-06","6"
82.12,"2012-10-07","6"
117.13,"2012-10-08","6"
478.57,"2012-10-09","6"
446.59,"2012-10-10","6"
186.5,"2012-10-11","6"
117.19,"2012-10-12","6"
251.3,"2012-10-13","6"
206.01,"2012-10-14","6"
163.02,"2012-10-15","6"
119.22,"2012-10-16","6"
127.85,"2012-10-17","6"
194.53,"2012-10-18","6"
132.45,"2012-10-19","6"
167.84,"2012-10-20","6"
156.55,"2012-10-21","6"
144.95,"2012-10-22","6"
330.29,"2012-10-23","6"
109.53,"2012-10-24","6"
122.23,"2012-10-25","6"
161.9,"2012-10-26","6"
190.48,"2012-10-27","6"
504.95,"2012-10-28","6"
713.45,"2012-10-29","6"
362.31,"2012-10-30","6"
123.82,"2012-10-31","6"
161.77,"2012-11-01","6"
134.07,"2012-11-02","6"
145.63,"2012-11-03","6"
184.15,"2012-11-04","6"
108.23,"2012-11-05","6"
135.64,"2012-11-06","6"
114.2,"2012-11-07","6"
79.99,"2012-11-08","6"
102.39,"2012-11-09","6"
260.02,"2012-11-10","6"
357.11,"2012-11-11","6"
505.13,"2013-01-04","6"
586.84,"2013-01-05","6"
1060.68,"2013-01-06","6"
493.37,"2013-01-07","6"
1163.03,"2013-01-08","6"
153.52,"2013-01-09","6"
279.86,"2013-01-10","6"
148.95,"2013-01-11","6"
119.79,"2013-01-12","6"
158.26,"2013-01-13","6"
133.21,"2013-01-14","6"
82.34,"2013-01-15","6"
100.25,"2013-01-16","6"
98.97,"2013-01-17","6"
177.58,"2013-01-18","6"
153.82,"2013-01-19","6"
940.34,"2013-01-20","6"
860.97,"2013-01-21","6"
149.81,"2013-01-22","6"
97.15,"2013-01-23","6"
118.7,"2013-01-24","6"
125.96,"2013-01-25","6"
210.04,"2013-01-26","6"
178.81,"2013-01-27","6"
121.7,"2013-01-28","6"
111.46,"2013-01-29","6"
139.94,"2013-01-30","6"
1099.94,"2013-01-31","6"
